School,school_original,CountyReport,Number_of_Total_Cases,ReportDate,
Boonsboro High School,Boonsboro High School,Washington,13,3/31/2021,15:00:00+00
Boys' Latin School of Maryland,Boys' Latin School of Maryland,Baltimore City,2,3/31/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,3,3/31/2021,15:00:00+00
Cecil County School of Technology,Cecil County School of Technology,Cecil,3,3/31/2021,15:00:00+00
Century High School,Century High School,Carroll,3,3/31/2021,15:00:00+00
From the Heart Christian School,From the Heart Christian School,Montgomery,8,3/31/2021,15:00:00+00
Gilpin Manor Elementary School,Gilpin Manor Elementary School,Cecil,2,3/31/2021,15:00:00+00
Governor Thomas Johnson High School,Governor Thomas Johnson High School,Frederick,5,3/31/2021,15:00:00+00
Holly Grove Christian School,Holly Grove Christian School,Somerset,2,3/31/2021,15:00:00+00
Howard High School,Howard High School,Howard,2,3/31/2021,15:00:00+00
Immaculate Conception School,Immaculate Conception School,Baltimore,11,3/31/2021,15:00:00+00
The John Carroll School,The John Carroll School,Harford,3,3/31/2021,15:00:00+00
Liberty Christian School,Liberty Christian School,Baltimore,2,3/31/2021,15:00:00+00
McDonogh School,McDonogh School,Baltimore,2,3/31/2021,15:00:00+00
Mechanicsville Elementary School,Mechanicsville Elementary,Carroll,7,3/31/2021,15:00:00+00
Montgomery Blair High School,Montgomery Blair High School,Montgomery,2,3/31/2021,15:00:00+00
Mt. Aetna Adventist School,Mt. Aetna Adventist School,Washington,4,3/31/2021,15:00:00+00
Odenton Christian School,Odenton Christian School,Anne Arundel,11,3/31/2021,15:00:00+00
Orchard Grove Elementary School,Orchard Grove Elementary School,Frederick,2,3/31/2021,15:00:00+00
Our Lady of Good Counsel High School,Our Lady of Good Counsel High School,Montgomery,3,3/31/2021,15:00:00+00
Our Lady of Perpetual Help School,Our Lady of Perpetual Help School,Howard,2,3/31/2021,15:00:00+00
Parkside High School,Parkside High School,Wicomico,4,3/31/2021,15:00:00+00
Patapsco High School,Patapsco High School,Baltimore,2,3/31/2021,15:00:00+00
Pleasant Valley Elementary,Pleasant Valley Elementary,Washington,2,3/31/2021,15:00:00+00
Rising Sun High School,Rising Sun High School,Cecil,2,3/31/2021,15:00:00+00
River Hill High School,River Hill High School,Howard,2,3/31/2021,15:00:00+00
"Rochambeau, The French International School","Rochambeau, The French International School",Montgomery,4,3/31/2021,15:00:00+00
Rock Church Academy,Rock Church Academy,Baltimore,2,3/31/2021,15:00:00+00
Snow Hill Middle School,Snow Hill Middle School,Worcester,6,3/31/2021,15:00:00+00
Stepping Stones Learning Academy,Stepping Stones Learning Academy,Wicomico,6,3/31/2021,15:00:00+00
Talbott Springs Elementary School,Talbot Springs Elementary School,Howard,2,3/31/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy Elementary School,Baltimore,6,3/31/2021,15:00:00+00
The Norwood School,The Norwood School,Montgomery,2,3/31/2021,15:00:00+00
Walkersville High School,Walkersville High School,Frederick,3,3/31/2021,15:00:00+00
White Marsh Elementary School,White Marsh Elementary School,St. Mary's,2,3/31/2021,15:00:00+00
Williamsport High School,Williamsport High School,Washington,6,3/31/2021,15:00:00+00
Winston Churchill High School,Winston Churchill High School,Montgomery,2,3/31/2021,15:00:00+00
Archbishop Curley High School,Archbishop Curley High School,Baltimore City,2,4/7/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,9,4/7/2021,15:00:00+00
Bohemia Manor High School,Bohemia Manor High School,Cecil,3,4/7/2021,15:00:00+00
Boonsboro High School,Boonsboro High School,Washington,14,4/7/2021,15:00:00+00
Boys' Latin School of Maryland,Boys' Latin School of Maryland,Baltimore City,4,4/7/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,6,4/7/2021,15:00:00+00
Catonsville High School,Catonsville High School,Baltimore,2,4/7/2021,15:00:00+00
Cecil County School of Technology,Cecil County School of Technology,Cecil,3,4/7/2021,15:00:00+00
Century High School,Century High School,Carroll,3,4/7/2021,15:00:00+00
Concordia Preparatory School,Concordia Preparatory School,Baltimore,3,4/7/2021,15:00:00+00
Eastern Technical High School,Eastern Technical High School,Baltimore,2,4/7/2021,15:00:00+00
Forest Lakes Elementary School,Forest Lakes Elementary School,Harford,2,4/7/2021,15:00:00+00
From the Heart Christian School,From the Heart Christian School,Montgomery,8,4/7/2021,15:00:00+00
Gilpin Manor Elementary School,Gilpin Manor Elementary School,Cecil,2,4/7/2021,15:00:00+00
Governor Thomas Johnson High School,Governor Thomas Johnson High School,Frederick,5,4/7/2021,15:00:00+00
Great Mills High School,Great Mills High School,St. Mary's,2,4/7/2021,15:00:00+00
Holly Grove Christian School,Holly Grove Christian School,Somerset,4,4/7/2021,15:00:00+00
Howard High School,Howard High School,Howard,2,4/7/2021,15:00:00+00
Immaculate Conception School,Immaculate Conception School,Baltimore,9,4/7/2021,15:00:00+00
The John Carroll School,The John Carroll School,Harford,5,4/7/2021,15:00:00+00
Laurel Hall,Laurel Hall,Washington,2,4/7/2021,15:00:00+00
Liberty Christian School,Liberty Christian School,Baltimore,2,4/7/2021,15:00:00+00
McDonogh School,McDonogh School,Baltimore,3,4/7/2021,15:00:00+00
Montgomery Blair High School,Montgomery Blair High School,Montgomery,2,4/7/2021,15:00:00+00
North Caroline High School,North Caroline High School,Caroline,3,4/7/2021,15:00:00+00
North Dorchester Middle School,North Dorchester Middle School,Dorchester,2,4/7/2021,15:00:00+00
Oakdale High School,Oakdale High School,Frederick,2,4/7/2021,15:00:00+00
Orchard Grove Elementary School,Orchard Grove Elementary School,Frederick,2,4/7/2021,15:00:00+00
Our Lady of Good Counsel High School,Our Lady of Good Counsel High School,Montgomery,3,4/7/2021,15:00:00+00
Our Lady of Lourdes School,Our Lady of Lourdes School - 4th Grade,Montgomery,3,4/7/2021,15:00:00+00
Our Lady of Perpetual Help School,Our Lady of Perpetual Help School,Howard,2,4/7/2021,15:00:00+00
Pleasant Valley Elementary,Pleasant Valley Elementary,Washington,3,4/7/2021,15:00:00+00
Rising Sun High School,Rising Sun High School,Cecil,2,4/7/2021,15:00:00+00
Sherwood High School,Sherwood High School,Montgomery,2,4/7/2021,15:00:00+00
Snow Hill Middle School,Snow Hill Middle School,Worcester,6,4/7/2021,15:00:00+00
Springfield Middle School,Springfield Middle School,Washington,2,4/7/2021,15:00:00+00
St. John the Evangelist Catholic School,St. John the Evangelist School,Anne Arundel,6,4/7/2021,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,4,4/7/2021,15:00:00+00
Talbott Springs Elementary School,Talbot Springs Elementary School,Howard,4,4/7/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy Elementary School,Baltimore,6,4/7/2021,15:00:00+00
The Heights School,The Heights School,Montgomery,2,4/7/2021,15:00:00+00
Walkersville High School,Walkersville High School,Frederick,6,4/7/2021,15:00:00+00
Williamsport High School,Williamsport High School,Washington,13,4/7/2021,15:00:00+00
Archbishop Curley High School,Archbishop Curley High School,Baltimore City,2,4/13/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,9,4/13/2021,15:00:00+00
Beall Elementary School,Beall Elementary School,Allegany,5,4/13/2021,15:00:00+00
Bellows Spring Elementary School,Bellows Spring Elementary School,Howard,3,4/13/2021,15:00:00+00
Boonsboro High School,Boonsboro High School,Washington,14,4/13/2021,15:00:00+00
Boys' Latin School of Maryland,Boys' Latin School of Maryland,Baltimore City,4,4/13/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,6,4/13/2021,15:00:00+00
Catonsville High School,Catonsville High School,Baltimore,2,4/13/2021,15:00:00+00
Century High School,Century High School,Carroll,3,4/13/2021,15:00:00+00
Chopticon High School,Chopticon High School,St. Mary's,2,4/13/2021,15:00:00+00
Concordia Preparatory School,Concordia Preparatory School,Baltimore,4,4/13/2021,15:00:00+00
Eastern Elementary School,Eastern Elementary School,Washington,3,4/13/2021,15:00:00+00
Eastern Technical High School,Eastern Technical High School,Baltimore,3,4/13/2021,15:00:00+00
Forest Lakes Elementary School,Forest Lakes Elementary School,Harford,3,4/13/2021,15:00:00+00
Fulton Elementary School,Fulton Elementary School,Howard,5,4/13/2021,15:00:00+00
Great Mills High School,Great Mills High School,St. Mary's,2,4/13/2021,15:00:00+00
Great Seneca Creek Elementary School,Great Seneca Creek Elementary School,Montgomery,2,4/13/2021,15:00:00+00
Howard High School,Howard High School,Howard,2,4/13/2021,15:00:00+00
Laurel Hall School,Laurel Hall School,Washington,2,4/13/2021,15:00:00+00
Mace's Lane Middle School,Mace's Lane Middle School,Dorchester,3,4/13/2021,15:00:00+00
Marriotts Ridge High School,Marriotts Ridge High School,Howard,2,4/13/2021,15:00:00+00
McDonogh School,McDonogh School,Baltimore,3,4/13/2021,15:00:00+00
North Caroline High School,North Caroline High School,Caroline,3,4/13/2021,15:00:00+00
North Dorchester Middle School,North Dorchester Middle School,Dorchester,2,4/13/2021,15:00:00+00
Our Lady of Lourdes School,Our Lady of Lourdes School,Montgomery,3,4/13/2021,15:00:00+00
Patterson Mill Middle High School,Patterson Mill Middle High School,Harford,3,4/13/2021,15:00:00+00
Paul Laurence Dunbar High School,Paul Laurence Dunbar High School,Baltimore City,2,4/13/2021,15:00:00+00
Rising Sun High School,Rising Sun High School,Cecil,2,4/13/2021,15:00:00+00
Smithsburg High School,Smithsburg High School,Washington,2,4/13/2021,15:00:00+00
Somerset Intermediate School,Somerset Intermediate School,Somerset,2,4/13/2021,15:00:00+00
Springfield Middle School,Springfield Middle School,Washington,2,4/13/2021,15:00:00+00
St. John the Evangelist Catholic School,St. John the Evangelist School,Anne Arundel,6,4/13/2021,15:00:00+00
St. Mary's School,St. Mary School,Washington,2,4/13/2021,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,5,4/13/2021,15:00:00+00
Talbott Springs Elementary School,Talbott Springs Elementary School,Howard,4,4/13/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy Elementary School,Baltimore,7,4/13/2021,15:00:00+00
The Heights School,The Heights School,Montgomery,2,4/13/2021,15:00:00+00
The Odyssey School,The Odyssey School,Baltimore,5,4/13/2021,15:00:00+00
Walkersville High School,Walkersville High School,Frederick,6,4/13/2021,15:00:00+00
Williamsport High School,Williamsport High School,Washington,18,4/13/2021,15:00:00+00
Beall Elementary School,Beall Elementary School,Allegany,5,4/21/2021,15:00:00+00
Bel Air Elementary School,Bel Air Elementary School,Harford,2,4/21/2021,15:00:00+00
Bnos Yisroel of Baltimore,Bnos Yisroel of Baltimore,Baltimore City,10,4/21/2021,15:00:00+00
Boonsboro High School,Boonsboro High School,Washington,16,4/21/2021,15:00:00+00
Broadfording Christian Academy,Broadfording Christian Academy,Washington,2,4/21/2021,15:00:00+00
Centreville Middle School,Centreville Middle School,Queen Anne's,3,4/21/2021,15:00:00+00
Chopticon High School,Chopticon High School,St. Mary's,3,4/21/2021,15:00:00+00
Concordia Preparatory School,Concordia Preparatory School,Baltimore,9,4/21/2021,15:00:00+00
Eastern Elementary School,Eastern Elementary School,Washington,3,4/21/2021,15:00:00+00
Eastern Technical High School,Eastern Technical High School,Baltimore,5,4/21/2021,15:00:00+00
Forest Lakes Elementary School,Forest Lakes Elementary School,Harford,3,4/21/2021,15:00:00+00
Fulton Elementary School,Fulton Elementary School,Howard,6,4/21/2021,15:00:00+00
Golden Ring Middle School,Golden Ring Middle School,Baltimore,2,4/21/2021,15:00:00+00
Great Seneca Creek Elementary School,Great Seneca Creek Elementary School,Montgomery,2,4/21/2021,15:00:00+00
Honeygo Elementary School,Honey Go Elementary School,Baltimore,2,4/21/2021,15:00:00+00
Lincolnshire Elementary School,Lincolnshire Elementary School,Washington,3,4/21/2021,15:00:00+00
Mace's Lane Middle School,Mace's Lane Middle School,Dorchester,5,4/21/2021,15:00:00+00
Marriotts Ridge High School,Marriotts Ridge High School,Howard,2,4/21/2021,15:00:00+00
Mount St. Joseph High School,Mount St. Joseph High School,Baltimore City,2,4/21/2021,15:00:00+00
New Market Middle School,New Market Middle School,Frederick,5,4/21/2021,15:00:00+00
North Caroline High School,North Caroline High School,Caroline,3,4/21/2021,15:00:00+00
Northern Middle School,Northern Middle School,Washington,2,4/21/2021,15:00:00+00
Patterson Mill Middle High School,Patterson Mill Middle High School,Harford,3,4/21/2021,15:00:00+00
Paul Laurence Dunbar High School,Paul Laurence Dunbar High School,Baltimore City,4,4/21/2021,15:00:00+00
Rachel Carson Elementary School,Rachel Carson Elementary School,Montgomery,2,4/21/2021,15:00:00+00
Redeemer Classical Christian School,Redeemer Classical Christian School,Baltimore,4,4/21/2021,15:00:00+00
Rising Sun High School,Rising Sun High School,Cecil,2,4/21/2021,15:00:00+00
River Hill High School,River Hill High School,Howard,4,4/21/2021,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,3,4/21/2021,15:00:00+00
Smithsburg High School,Smithsburg High School,Washington,4,4/21/2021,15:00:00+00
Somerset Intermediate School,Somerset Intermediate School,Somerset,2,4/21/2021,15:00:00+00
South Hagerstown High School,South Hagerstown High School,Washington,2,4/21/2021,15:00:00+00
Sparrows Point High School,Sparrow's Point High School,Baltimore,4,4/21/2021,15:00:00+00
St. Mary Catholic School,St. Mary Catholic School,Washington,2,4/21/2021,15:00:00+00
St. Paul School for Girls,St. Paul School for Girls,Baltimore,4,4/21/2021,15:00:00+00
St. Paul's School,St. Paul's School,Baltimore,3,4/21/2021,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,24,4/21/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy Elementary School,Baltimore,8,4/21/2021,15:00:00+00
The Heights School,The Heights School,Montgomery,3,4/21/2021,15:00:00+00
The Jemicy School,The Jemicy School,Baltimore,2,4/21/2021,15:00:00+00
The Odyssey School,The Odyssey School,Baltimore,5,4/21/2021,15:00:00+00
Towson High School,Towson High School,Baltimore,7,4/21/2021,15:00:00+00
Williamsport High School,Williamsport High School,Washington,22,4/21/2021,15:00:00+00
Bainbridge Elementary School,Bainbridge Elementary School,Cecil,2,4/28/2021,15:00:00+00
Baltimore Design School,Baltimore Design School,Baltimore City,6,4/28/2021,15:00:00+00
Bel Air Middle School,Bel Air Middle School,Harford,2,4/28/2021,15:00:00+00
Boonsboro High School,Boonsboro High School,Washington,17,4/28/2021,15:00:00+00
Broadfording Christian Academy,Broadfording Christian Academy,Washington,3,4/28/2021,15:00:00+00
Bryant Woods Elementary School,Bryant's Wood Elementary School,Howard,2,4/28/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,9,4/28/2021,15:00:00+00
Catonsville High School,Catonsville High School,Baltimore,5,4/28/2021,15:00:00+00
Centreville Middle School,Centreville Middle School,Queen Anne's,3,4/28/2021,15:00:00+00
Choptank Elementary School,Choptank Elementary School,Dorchester,5,4/28/2021,15:00:00+00
Concordia Preparatory School,Concordia Preparatory School,Baltimore,9,4/28/2021,15:00:00+00
Eastern Technical High School,Eastern Technical High School,Baltimore,5,4/28/2021,15:00:00+00
Forest Lakes Elementary School,Forest Lakes Elementary School,Harford,5,4/28/2021,15:00:00+00
Frederick High School,Frederick High School,Frederick,4,4/28/2021,15:00:00+00
Huber Academy,Huber Academy,Baltimore City,2,4/28/2021,15:00:00+00
John Carroll High School,John Carroll High School,Harford,9,4/28/2021,15:00:00+00
Leonardtown Middle School,Leonardtown Middle School,St. Mary's,4,4/28/2021,15:00:00+00
Lincolnshire Elementary School,Lincolnshire Elementary School,Washington,13,4/28/2021,15:00:00+00
Mace's Lane Middle School,Mace's Lane Middle School,Dorchester,12,4/28/2021,15:00:00+00
Matapeake Elementary School,Matapeake Elementary School,Queen Anne's,2,4/28/2021,15:00:00+00
McDonogh School,McDonogh School,Baltimore,5,4/28/2021,15:00:00+00
Monarch Academy Annapolis,Monarch Academy Annapolis,Anne Arundel,2,4/28/2021,15:00:00+00
New Market Middle School,New Market Middle School,Frederick,5,4/28/2021,15:00:00+00
North Dorchester Middle School,North Dorchester Middle School,Dorchester,5,4/28/2021,15:00:00+00
Northern Middle School,Northern Middle School,Washington,2,4/28/2021,15:00:00+00
Rachel Carson Elementary School,Rachel Carson Elementary School,Montgomery,2,4/28/2021,15:00:00+00
Reach Partnership School,Reach Partnership School,Baltimore City,2,4/28/2021,15:00:00+00
Scotts Branch Elementary School,Scotts Branch Elementary School,Baltimore,3,4/28/2021,15:00:00+00
Smithsburg High School,Smithsburg High School,Washington,6,4/28/2021,15:00:00+00
South Hagerstown High School,South Hagerstown High School,Washington,2,4/28/2021,15:00:00+00
Sparrows Point High School,Sparrow's Point High School,Baltimore,4,4/28/2021,15:00:00+00
Springfield Middle School,Springfield Middle School,Washington,6,4/28/2021,15:00:00+00
St. Mary's School,St. Mary's School,Anne Arundel,13,4/28/2021,15:00:00+00
St. Paul's School,St. Paul's School,Baltimore,7,4/28/2021,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,24,4/28/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy Elementary School,Baltimore,8,4/28/2021,15:00:00+00
Thomson Estates Elementary School,Thomson Estates Elementary School,Cecil,2,4/28/2021,15:00:00+00
Towson High School,Towson High School,Baltimore,7,4/28/2021,15:00:00+00
Urbana High School,Urbana High School,Frederick,4,4/28/2021,15:00:00+00
Williamsport High School,Williamsport High School,Washington,25,4/28/2021,15:00:00+00
Bainbridge Elementary School,Bainbridge Elementary School,Cecil,4,5/5/2021,15:00:00+00
Baltimore Design School,Baltimore Design School,Baltimore City,6,5/5/2021,15:00:00+00
Barbara Ingram School,Barbara Ingram School,Washington,4,5/5/2021,15:00:00+00
Bel Air Middle School,Bel Air Middle School,Harford,2,5/5/2021,15:00:00+00
Berlin Intermediate School,Berlin Intermediate School,Worcester,2,5/5/2021,15:00:00+00
Bethel Christian Academy,Bethel Christian Academy,Howard,4,5/5/2021,15:00:00+00
Bryant Woods Elementary School,Bryant's Wood Elementary School,Howard,2,5/5/2021,15:00:00+00
Calvary Christian Academy,Calvary Christian Academy,Allegany,3,5/5/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,9,5/5/2021,15:00:00+00
Carroll County Career Technology Center,Carroll County Career Technology Center,Carroll,2,5/5/2021,15:00:00+00
Catonsville High School,Catonsville High School,Baltimore,5,5/5/2021,15:00:00+00
Cecilton Elementary School,Cecilton Elementary School,Cecil,2,5/5/2021,15:00:00+00
Choptank Elementary School,Choptank Elementary School,Dorchester,7,5/5/2021,15:00:00+00
Fallston High School,Fallston High School,Harford,2,5/5/2021,15:00:00+00
Forest Lakes Elementary School,Forest Lakes Elementary School,Harford,5,5/5/2021,15:00:00+00
Frederick High School,Frederick High School,Frederick,4,5/5/2021,15:00:00+00
Fulton Elementary School,Fulton Elementary School,Howard,8,5/5/2021,15:00:00+00
Hancock Elementary School,Hancock Elementary School,Washington,2,5/5/2021,15:00:00+00
Hope Academy,HOPE Academy,Baltimore City,5,5/5/2021,15:00:00+00
John Carroll High School,John Carroll High School,Harford,11,5/5/2021,15:00:00+00
Kent County High School,Kent County High School,Kent,2,5/5/2021,15:00:00+00
KIPP Academy,KIPP Academy,Baltimore City,2,5/5/2021,15:00:00+00
Leonardtown Middle School,Leonardtown Middle School,St. Mary's,4,5/5/2021,15:00:00+00
Liberty High School,Liberty High School,Carroll,4,5/5/2021,15:00:00+00
Lincolnshire Elementary School,Lincolnshire Elementary School,Washington,19,5/5/2021,15:00:00+00
Matapeake Elementary School,Matapeake Elementary School,Queen Anne's,2,5/5/2021,15:00:00+00
McLean School,McLean School,Montgomery,2,5/5/2021,15:00:00+00
New Market Middle School,New Market Middle School,Frederick,6,5/5/2021,15:00:00+00
North Dorchester Middle School,North Dorchester Middle School,Dorchester,5,5/5/2021,15:00:00+00
Perryville Elementary School,Perryville Elementary School,Cecil,2,5/5/2021,15:00:00+00
Rachel Carson Elementary School,Rachel Carson Elementary School,Montgomery,2,5/5/2021,15:00:00+00
Reach Partnership School,Reach Partnership School,Baltimore City,2,5/5/2021,15:00:00+00
Renaissance Academy,Renaissance Academy,Baltimore City,2,5/5/2021,15:00:00+00
Ring Factory Elementary School,Ring Factory Elementary School,Harford,2,5/5/2021,15:00:00+00
Roland Park Elementary/Middle,Roland Park Elementary/Middle,Baltimore City,2,5/5/2021,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,5,5/5/2021,15:00:00+00
Scotts Branch Elementary School,Scotts Branch Elementary School,Baltimore,3,5/5/2021,15:00:00+00
Smithsburg High School,Smithsburg High School,Washington,6,5/5/2021,15:00:00+00
Springfield Middle School,Springfield Middle School,Washington,9,5/5/2021,15:00:00+00
St. Mary's School,St. Mary's School,Anne Arundel,16,5/5/2021,15:00:00+00
St. Paul's School,St. Paul's School,Baltimore,7,5/5/2021,15:00:00+00
Stephen Decatur Middle School,Stephen Decatur Middle School,Worcester,2,5/5/2021,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,21,5/5/2021,15:00:00+00
Sudbrook Magnet Middle School,Sudbrook Magnet Middle School,Baltimore,2,5/5/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy Elementary School,Baltimore,3,5/5/2021,15:00:00+00
The SEED School,The SEED School,Baltimore City,3,5/5/2021,15:00:00+00
Tri-State Christian Academy,Tri-State Christian Academy,Cecil,2,5/5/2021,15:00:00+00
Urbana High School,Urbana High School,Frederick,4,5/5/2021,15:00:00+00
Vincent Farms Elementary School,Vincent Farms Elementary School,Baltimore,2,5/5/2021,15:00:00+00
Westminster High School,Westminster High School,Carroll,3,5/5/2021,15:00:00+00
Williamsport High School,Williamsport High School,Washington,30,5/5/2021,15:00:00+00
Youth Benefit Elementary School,Youth Benefit Elementary School,Harford,3,5/5/2021,15:00:00+00
Bainbridge Elementary School,Bainbridge Elementary School,Cecil,5,5/12/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,2,5/12/2021,15:00:00+00
Barbara Ingram School,Barbara Ingram School,Washington,4,5/12/2021,15:00:00+00
Beall Elementary School,Beall Elementary School,Montgomery,2,5/12/2021,15:00:00+00
Berlin Intermediate School,Berlin Intermediate School,Worcester,2,5/12/2021,15:00:00+00
Bethel Christian Academy,Bethel Christian Academy,Howard,10,5/12/2021,15:00:00+00
Brunswick High School,Brunswick High School,Frederick,3,5/12/2021,15:00:00+00
Carroll County Career Technology Center,Carroll County Career Technology Center,Carroll,2,5/12/2021,15:00:00+00
Cecilton Elementary School,Cecilton Elementary School,Cecil,2,5/12/2021,15:00:00+00
Cedar Lane School,Cedar Lane School,Howard,2,5/12/2021,15:00:00+00
Choptank Elementary School,Choptank Elementary School,Dorchester,12,5/12/2021,15:00:00+00
DeMatha Catholic High School,DeMatha Catholic High School,Prince George's,2,5/12/2021,15:00:00+00
Fulton Elementary School,Fulton Elementary School,Howard,8,5/12/2021,15:00:00+00
Hancock Elementary School,Hancock Elementary School,Washington,2,5/12/2021,15:00:00+00
Hickory Elementary School,Hickory Elementary School,Harford,2,5/12/2021,15:00:00+00
John Carroll High School,John Carroll High School,Harford,11,5/12/2021,15:00:00+00
Kent County High School,Kent County High School,Kent,2,5/12/2021,15:00:00+00
Kings Christian Academy,Kings Christian Academy,St. Mary's,2,5/12/2021,15:00:00+00
Landon School,Landon School,Montgomery,2,5/12/2021,15:00:00+00
Leonardtown Middle School,Leonardtown Middle School,St. Mary's,5,5/12/2021,15:00:00+00
Lighthouse Christian School,Lighthouse Christian School,Allegany,7,5/12/2021,15:00:00+00
Lincolnshire Elementary School,Lincolnshire Elementary School,Washington,19,5/12/2021,15:00:00+00
Mount De Sales High School,Mount De Sales High School,Baltimore,5,5/12/2021,15:00:00+00
Mt. Airy Elementary School,Mt. Airy Elementary School,Carroll,2,5/12/2021,15:00:00+00
Perryville Elementary School,Perryville Elementary School,Cecil,2,5/12/2021,15:00:00+00
Pittsville Elementary & Middle School,Pittsville Elementary & Middle School,Wicomico,2,5/12/2021,15:00:00+00
Ring Factory Elementary School,Ring Factory Elementary School,Harford,2,5/12/2021,15:00:00+00
Roland Park Elementary/Middle,Roland Park Elementary/Middle,Baltimore City,2,5/12/2021,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,8,5/12/2021,15:00:00+00
Salisbury Christian School,Salisbury Christian School,Wicomico,2,5/12/2021,15:00:00+00
Springfield Middle School,Springfield Middle School,Washington,10,5/12/2021,15:00:00+00
St. Mary's School,St. Mary's School,Anne Arundel,16,5/12/2021,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,23,5/12/2021,15:00:00+00
Stephen Decatur Middle School,Stephen Decatur Middle School,Worcester,2,5/12/2021,15:00:00+00
Sudbrook Magnet Middle School,Sudbrook Magnet Middle School,Baltimore,2,5/12/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy Middle School,Baltimore,3,5/12/2021,15:00:00+00
The SEED School,The SEED School,Baltimore City,8,5/12/2021,15:00:00+00
Tome School,Tome School,Cecil,2,5/12/2021,15:00:00+00
Tri-State Christian Academy,Tri-State Christian Academy,Cecil,2,5/12/2021,15:00:00+00
Vincent Farms Elementary School,Vincent Farms Elementary School,Baltimore,2,5/12/2021,15:00:00+00
Westminster High School,Westminster High School,Carroll,3,5/12/2021,15:00:00+00
Williamsport High School,Williamsport High School,Washington,31,5/12/2021,15:00:00+00
Youth Benefit Elementary School,Youth Benefit Elementary School,Harford,3,5/12/2021,15:00:00+00
Applications and Research Laboratory,Applications and Research Laboratory,Howard,3,5/19/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,2,5/19/2021,15:00:00+00
Bethel Christian Academy,Bethel Christian Academy,Howard,10,5/19/2021,15:00:00+00
Brunswick High School,Brunswick High School,Frederick,3,5/19/2021,15:00:00+00
Crisfield High School,Crisfield High School,Somerset,4,5/19/2021,15:00:00+00
DeMatha Catholic High School,DeMatha Catholic High School,Prince George's,2,5/19/2021,15:00:00+00
Denton Elementary School,Denton Elementary School,Caroline,2,5/19/2021,15:00:00+00
Dynard Elementary School,Dynard Elementary School,St. Mary's,2,5/19/2021,15:00:00+00
East Middle School,East Middle School,Carroll,7,5/19/2021,15:00:00+00
Hickory Elementary School,Hickory Elementary School,Harford,2,5/19/2021,15:00:00+00
Lighthouse Christian School,Lighthouse Christian School,Allegany,7,5/19/2021,15:00:00+00
Mount De Sales High School,Mount De Sales High School,Baltimore,5,5/19/2021,15:00:00+00
Pittsville Elementary & Middle School,Pittsville Elementary & Middle School,Wicomico,2,5/19/2021,15:00:00+00
Quince Orchard High School,Quince Orchard High School,Montgomery,2,5/19/2021,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,8,5/19/2021,15:00:00+00
Seaside Christian Academy,Seaside Christian Academy,Worcester,2,5/19/2021,15:00:00+00
Springfield Middle School,Springfield Middle School,Washington,12,5/19/2021,15:00:00+00
St. Casimir Catholic School,St. Casimir Catholic School,Baltimore City,2,5/19/2021,15:00:00+00
The SEED School,The SEED School,Baltimore City,9,5/19/2021,15:00:00+00
Tome School,Tome School,Cecil,2,5/19/2021,15:00:00+00
Williamsport High School,Williamsport High School,Washington,32,5/19/2021,15:00:00+00
Winters Mill High School,Winters Mill High School,Carroll,3,5/19/2021,15:00:00+00
Applications and Research Laboratory,Applications and Research Laboratory,Howard,3,5/26/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,3,5/26/2021,15:00:00+00
Crisfield High School,Crisfield High School,Somerset,5,5/26/2021,15:00:00+00
