School,school_original,CountyReport,Number_of_Total_Cases,ReportDate,
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,44,1/27/2021,15:00:00+00
Bais Yaakov Middle School,Bais Yaakov Middle School,Baltimore,3,1/27/2021,15:00:00+00
Bais Yaakov School for Girls,Bais Yaakov School for Girls,Baltimore,3,1/27/2021,15:00:00+00
Bishop McNamara High School,Bishop McNamara High,Prince George's,10,1/27/2021,15:00:00+00
Brookewood School,Brookewood School,Montgomery,3,1/27/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,7,1/27/2021,15:00:00+00
Cheder Chabad School,Cheder Chabad School,Baltimore City,2,1/27/2021,15:00:00+00
DeMatha Catholic High School,DeMatha Catholic High School,Prince George's,2,1/27/2021,15:00:00+00
Georgetown Preparatory School,Georgetown Preparatory School,Montgomery,4,1/27/2021,15:00:00+00
Heritage Academy,Heritage Academy,Washington,2,1/27/2021,15:00:00+00
Little Flower School,Little Flower School,St. Mary's,3,1/27/2021,15:00:00+00
Parr's Ridge Elementary,Parr's Ridge Elementary,Carroll,2,1/27/2021,15:00:00+00
Resurrection St. Paul School,Resurrection St. Paul School,Howard,8,1/27/2021,15:00:00+00
Runnymede Elementary,Runnymede Elementary,Carroll,2,1/27/2021,15:00:00+00
Salisbury Christian School,Salisbury Christian School,Wicomico,5,1/27/2021,15:00:00+00
School of the Incarnation,School of the Incarnation,Anne Arundel,4,1/27/2021,15:00:00+00
St. Francis de Sales Catholic School,St. Francis de Sales Catholic School,Wicomico,6,1/27/2021,15:00:00+00
St. Mary's Ryken High School,St. Mary's Ryken High School,St. Mary's,2,1/27/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy of Baltimore,Baltimore,56,1/27/2021,15:00:00+00
The Heights School,The Heights School,Montgomery,4,1/27/2021,15:00:00+00
The Primary Day School,The Primary Day School,Montgomery,2,1/27/2021,15:00:00+00
Torah Institute of Baltimore,Torah Institute of Baltimore,Baltimore,26,1/27/2021,15:00:00+00
William Winchester Elementary School,William Winchester Elementary,Carroll,4,1/27/2021,15:00:00+00
The Avalon School,The Avalon School,Montgomery,5,2/3/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,45,2/3/2021,15:00:00+00
Bishop McNamara High School,Bishop McNamara High,Prince George's,10,2/3/2021,15:00:00+00
Brookewood School,Brookewood School,Montgomery,3,2/3/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,7,2/3/2021,15:00:00+00
Cheder Chabad School,Cheder Chabad School,Baltimore City,2,2/3/2021,15:00:00+00
DeMatha Catholic High School,DeMatha Catholic High School,Prince George's,2,2/3/2021,15:00:00+00
Georgetown Preparatory School,Georgetown Preparatory School,Montgomery,7,2/3/2021,15:00:00+00
Heritage Academy,Heritage Academy,Washington,2,2/3/2021,15:00:00+00
Kings Christian Academy,Kings Christian Academy,St. Mary's,6,2/3/2021,15:00:00+00
Little Flower School,Little Flower School,St. Mary's,3,2/3/2021,15:00:00+00
McDonogh School,McDonogh School,Baltimore,4,2/3/2021,15:00:00+00
Our Lady of Mercy,Our Lady of Mercy,Montgomery,3,2/3/2021,15:00:00+00
Resurrection St. Paul School,Resurrection St. Paul School,Howard,14,2/3/2021,15:00:00+00
Runnymede Elementary,Runnymede Elementary,Carroll,5,2/3/2021,15:00:00+00
Salisbury Christian School,Salisbury Christian School,Wicomico,4,2/3/2021,15:00:00+00
Spaulding High School,Spaulding High School,Anne Arundel,2,2/3/2021,15:00:00+00
St. Francis de Sales Catholic School,St. Francis de Sales Catholic School,Wicomico,6,2/3/2021,15:00:00+00
St. Louis School,St. Louis School,Howard,3,2/3/2021,15:00:00+00
St. Margaret's Elementary,St. Margaret's Elementary,Harford,2,2/3/2021,15:00:00+00
St. Mary's Ryken High School,St. Mary's Ryken High School,St. Mary's,2,2/3/2021,15:00:00+00
St. Raphael School,St. Raphael School,Montgomery,9,2/3/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy of Baltimore,Baltimore,62,2/3/2021,15:00:00+00
The Country School,The Country School,Talbot,2,2/3/2021,15:00:00+00
The Heights School,The Heights School,Montgomery,4,2/3/2021,15:00:00+00
William Winchester Elementary School,William Winchester Elementary,Carroll,2,2/3/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,49,2/10/2021,15:00:00+00
Bethel Christian Academy,Bethel Christian Academy,Howard,2,2/10/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,7,2/10/2021,15:00:00+00
Carroll Springs Elementary,Carroll Springs Elementary,Carroll,2,2/10/2021,15:00:00+00
Charles E Smith Jewish Day School - Upper School,Charles E Smith Jewish Day School - Upper School,Montgomery,3,2/10/2021,15:00:00+00
Cheder Chabad School,Cheder Chabad School,Baltimore City,2,2/10/2021,15:00:00+00
DeMatha Catholic High School,DeMatha Catholic High School,Prince George's,5,2/10/2021,15:00:00+00
Kings Christian Academy,Kings Christian Academy,St. Mary's,7,2/10/2021,15:00:00+00
McDonogh School,McDonogh School,Baltimore,4,2/10/2021,15:00:00+00
Resurrection St. Paul School,Resurrection St. Paul School,Howard,15,2/10/2021,15:00:00+00
Runnymede Elementary,Runnymede Elementary,Carroll,5,2/10/2021,15:00:00+00
St. Louis School,St. Louis School,Howard,3,2/10/2021,15:00:00+00
St. Raphael School,St. Raphael School,Montgomery,9,2/10/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy of Baltimore,Baltimore,72,2/10/2021,15:00:00+00
The Country School,The Country School,Talbot,7,2/10/2021,15:00:00+00
The Primary Day School,The Primary Day School,Montgomery,6,2/10/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,51,2/17/2021,15:00:00+00
Bethel Christian Academy,Bethel Christian Academy,Howard,3,2/17/2021,15:00:00+00
Calvary Baptist Church Academy,Calvary Baptist Church Academy,Anne Arundel,7,2/17/2021,15:00:00+00
Carroll Springs Elementary,Carroll Springs Elementary,Carroll,2,2/17/2021,15:00:00+00
Catoctin High School,Catoctin Highschool,Frederick,2,2/17/2021,15:00:00+00
Charles E Smith Jewish Day School - Upper School,Charles E Smith Jewish Day School - Upper School,Montgomery,3,2/17/2021,15:00:00+00
Cheder Chabad School,Cheder Chabad School,Baltimore City,2,2/17/2021,15:00:00+00
DeMatha Catholic High School,DeMatha Catholic High School,Prince George's,6,2/17/2021,15:00:00+00
McDonogh School,McDonogh School,Baltimore,4,2/17/2021,15:00:00+00
Resurrection St. Paul School,Resurrection St. Paul School,Howard,15,2/17/2021,15:00:00+00
Runnymede Elementary,Runnymede Elementary,Carroll,5,2/17/2021,15:00:00+00
St. Martin's in the Field Episcopal School,St. Martin's in the Field Episcopal School,Anne Arundel,2,2/17/2021,15:00:00+00
St. Paul's School,St. Paul's School,Baltimore,4,2/17/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy of Baltimore - High School,Baltimore,3,2/17/2021,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy of Baltimore - Elementary,Baltimore,32,2/17/2021,15:00:00+00
The Country School,The Country School,Talbot,4,2/17/2021,15:00:00+00
The Primary Day School,The Primary Day School,Montgomery,8,2/17/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,51,2/24/2021,15:00:00+00
Bethel Christian Academy,Bethel Christian Academy,Howard,3,2/24/2021,15:00:00+00
Calvary Baptist Church Academy,Calvary Baptist Church Academy,Anne Arundel,8,2/24/2021,15:00:00+00
Catoctin High School,Catoctin Highschool,Frederick,2,2/24/2021,15:00:00+00
Cheder Chabad School,Cheder Chabad School,Baltimore City,2,2/24/2021,15:00:00+00
DeMatha Catholic High School,DeMatha Catholic High School,Prince George's,6,2/24/2021,15:00:00+00
Friends School of Baltimore,Friends School of Baltimore,Baltimore City,2,2/24/2021,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph High School,Baltimore City,2,2/24/2021,15:00:00+00
Oklahoma Rd Middle School,Oklahoma Rd Middle School,Carroll,2,2/24/2021,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,2,2/24/2021,15:00:00+00
South Carroll High School,South Carroll High School,Carroll,4,2/24/2021,15:00:00+00
Spring Ridge Middle School,Spring Ridge Middle School,St. Mary's,2,2/24/2021,15:00:00+00
St. Martin's in the Field Episcopal School,St. Martin's in the Field Episcopal School,Anne Arundel,2,2/24/2021,15:00:00+00
St. Paul's School,St. Paul's School,Baltimore,4,2/24/2021,15:00:00+00
The Country School,The Country School,Talbot,5,2/24/2021,15:00:00+00
The Primary Day School,The Primary Day School,Montgomery,8,2/24/2021,15:00:00+00
Torah School of Greater Washington,Torah School of Greater Washington,Montgomery,2,2/24/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,51,2/24/2021,15:00:00+00
Bethel Christian Academy,Bethel Christian Academy,Howard,3,2/24/2021,15:00:00+00
Calvary Baptist Church Academy,Calvary Baptist Church Academy,Anne Arundel,8,2/24/2021,15:00:00+00
Catoctin High School,Catoctin Highschool,Frederick,2,2/24/2021,15:00:00+00
DeMatha Catholic High School,DeMatha Catholic High School,Prince George's,6,2/24/2021,15:00:00+00
Friends School of Baltimore,Friends School of Baltimore,Baltimore City,2,2/24/2021,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph High School,Baltimore City,2,2/24/2021,15:00:00+00
Oklahoma Rd Middle School,Oklahoma Rd Middle School,Carroll,2,2/24/2021,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,2,2/24/2021,15:00:00+00
South Carroll High School,South Carroll High School,Carroll,4,2/24/2021,15:00:00+00
Spring Ridge Middle School,Spring Ridge Middle School,St. Mary's,2,2/24/2021,15:00:00+00
